epoch,G_total,G_l1,G_adv,G_fft,G_vgg,D_total
37,28.332501116434734,26.549098157246906,1.7834029642641545,0.0,0.0,0.4422157083153725
38,28.339979436238607,26.545330507914226,1.7946489152113596,0.0,0.0,0.44340149574478466
39,28.151964505513508,26.373415156046548,1.7785493584076564,0.0,0.0,0.4365442422628403
40,28.19744981129964,26.385754330952963,1.811695487876733,0.0,0.0,0.43895676015814145
41,28.144197202046712,26.328177502950034,1.816019676844279,0.0,0.0,0.441502311150233
42,28.015140345255535,26.2202404683431,1.794899889310201,0.0,0.0,0.4373686496814092
43,27.937462374369304,26.134672421773274,1.8027899682124455,0.0,0.0,0.42999190058310827
44,27.826284540812175,26.011067571004233,1.8152169344027838,0.0,0.0,0.4323039285838604
45,27.946496017456056,26.09876781463623,1.8477282031377156,0.0,0.0,0.42898099623123803
46,27.874660186767578,26.026965423583984,1.8476947354873021,0.0,0.0,0.43627457642555234
47,27.621628784179688,25.784469724019367,1.8371590537230174,0.0,0.0,0.42953348592917123
48,27.53890199279785,25.69485127258301,1.8440507488250732,0.0,0.0,0.4410793682138125
49,27.484866587320962,25.644437561035158,1.8404290234645209,0.0,0.0,0.43091657254099847
50,27.463729380289713,25.589867871602376,1.8738615122238795,0.0,0.0,0.4268958236972491
51,27.308848978678384,25.457480562845866,1.851368415037791,0.0,0.0,0.4294786926706632
52,27.22024787648519,25.36436361440023,1.855884286304315,0.0,0.0,0.423183152983586
53,27.16581228129069,25.322872456868488,1.8429398218393325,0.0,0.0,0.41783696617682775
54,27.05078907775879,25.190288869222005,1.8605002303918203,0.0,0.0,0.4273106710712115
55,26.960076937357584,25.09001025136312,1.8700666646957398,0.0,0.0,0.41629535923401517
56,26.869159739176432,25.007062695821126,1.8620970513820647,0.0,0.0,0.40850929654637974
57,26.80148800913493,24.93198203531901,1.8695060042540232,0.0,0.0,0.421150679320097
58,26.750809646606445,24.887536430358885,1.863273206392924,0.0,0.0,0.3964314261774222
59,26.6360099995931,24.77369204457601,1.862317966957887,0.0,0.0,0.40093035871783894
60,26.576101567586264,24.693749013264974,1.8823525166511537,0.0,0.0,0.39322882544994353
61,26.44187614695231,24.552243573506672,1.8896326029698054,0.0,0.0,0.4020856991211573
62,26.408970708211264,24.509213035583496,1.899757687250773,0.0,0.0,0.3960276744365692
63,26.382438817342123,24.486834330240885,1.8956044654448827,0.0,0.0,0.3945564395487309
64,26.307242253621418,24.410898284912108,1.8963439376354219,0.0,0.0,0.38575371740261716
65,26.15696292622884,24.258999710083007,1.8979632018407187,0.0,0.0,0.389777301043272
66,26.089572697957358,24.176071194966635,1.9135014833211899,0.0,0.0,0.38568611299991606
67,26.046564666748047,24.129908765157065,1.9166558832327525,0.0,0.0,0.3805253547827403
68,25.965505193074545,24.045811065673828,1.9196941421031952,0.0,0.0,0.37971803082029026
69,25.963243705749512,24.04373515319824,1.9195085690816243,0.0,0.0,0.3753836480776469
70,25.882531105041505,23.987882817586264,1.8946483208735785,0.0,0.0,0.37296982019146285
71,25.818602986653644,23.901652537027996,1.9169504339694976,0.0,0.0,0.3760728017091751
72,25.69175239308675,23.790269653320312,1.901482725540797,0.0,0.0,0.3779006546835105
